	Unnamed: 0.40	Unnamed: 0.39	Unnamed: 0.38	Unnamed: 0.37	Unnamed: 0.36	Unnamed: 0.35	Unnamed: 0.34	Unnamed: 0.33	Unnamed: 0.32	Unnamed: 0.31	Unnamed: 0.30	Unnamed: 0.29	Unnamed: 0.28	Unnamed: 0.27	Unnamed: 0.26	Unnamed: 0.25	Unnamed: 0.24	Unnamed: 0.23	Unnamed: 0.22	Unnamed: 0.21	Unnamed: 0.20	Unnamed: 0.19	Unnamed: 0.18	Unnamed: 0.17	Unnamed: 0.16	Unnamed: 0.15	Unnamed: 0.14	Unnamed: 0.13	Unnamed: 0.12	Unnamed: 0.11	Unnamed: 0.10	Unnamed: 0.9	Unnamed: 0.8	Unnamed: 0.7	Unnamed: 0.6	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	AUC	logloss	average_precision	balanced_accuracy	accuracy_score	precision	recall	mcc	dataset	sample_fraction
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0		0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0			0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.0				0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0					0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
6	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	0.0						0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	0.0							0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0								0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	0.0									0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0										0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
11	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	0.0											0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
12	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	0.0												0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	0.0													0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
14	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	0.0														0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	-1.0
15	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	0.0															0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
16	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	0.0																0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
17	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	0.0																	0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
18	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	0.0																		0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
19	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0																			0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
20	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	0.0																				0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
21	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	0.0																					0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
22	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	0.0																						0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
23	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	0.0																							0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
24	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	0.0																								0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	-1.0
25	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	0.0																									0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
26	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	0.0																										0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
27	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	0.0																											0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
28	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0																												0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	-1.0
29	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	0.0																													0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
30	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	0.0																														0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
31	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	0.0																															0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
32	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	0.0																																0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
33	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	0.0																																	0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
34	34.0	34.0	34.0	34.0	34.0	34.0	34.0	0.0																																		0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
35	35.0	35.0	35.0	35.0	35.0	35.0	0.0																																			0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	-1.0
36	36.0	36.0	36.0	36.0	36.0	0.0																																				0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
37	37.0	37.0	37.0	37.0	0.0																																					0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
38	38.0	38.0	38.0	0.0																																						0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
39	39.0	39.0	0.0																																							0.9579300364344562	0.1874490771102951	0.990956216188838	0.8449627802065893	0.9179201343819196	0.9485447772494624	0.953540765998904	0.6975413494212684	test	0.3
40	40.0	0.0																																								0.9601680045586884	0.1826098088607406	0.991540239672589	0.8496256184738172	0.9188872769845512	0.9503887505314949	0.9527035255434452	0.7027765432232166	test	0.7
41	0.0																																									0.960208139429806	0.1824949325206607	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566643	0.7050789192027798	test	1.0
0																																										0.9602081394298059	0.18249493252066074	0.9915744342269478	0.8521542865931887	0.9192054159985747	0.9514354831347848	0.9519423978566645	0.7050789192027798	test	-1.0
